id,prompt,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview
195,"Satellites in circular Earth orbit maintain a constant speed because gravitational force on them is
A. zero
B. practically zero
C. appreciably weaker than at Earth’s surface
D. without a component of force along their circular path
Answer:",True,True
196,"The complementary color of blue is
A. magenta
B. yellow
C. cyan
D. white
Answer:",False,True
197,"The difference between dc and ac in electric circuits is that in dc, charges flow
A. steadily in one direction
B. in one direction
C. to and fro
D. All of these
Answer:",False,False
198,"To receive an electric shock there must be a
A. current in one direction.
B. presence of moisture.
C. high voltage and low body resistance.
D. voltage difference across part or all of your body.
Answer:",True,True
199,"A karate chop delivers a force of 3000 N to a board that breaks. The force that the board exerts on the hand during this event is
A. less than 3000 N
B. 3000 N
C. greater than 3000 N
D. Need more information
Answer:",False,True
200,"Find the speed of a wave by multiplying its frequency by its
A. period
B. wavelength
C. amplitude
D. None of these
Answer:",True,True
201,"The magnitude of the gravitational force on a satellite is constant if the orbit is
A. parabolic
B. circular
C. elliptical
D. All of these
Answer:",True,True
202,"The impulse–momentum relationship is a direct result of Newton’s
A. first law
B. second law
C. third law
D. law of gravity
Answer:",True,True
203,"A common nuclear fission reactor
A. heats water
B. generates electricity directly
C. gets energy from nothing
D. is a major polluter of the atmosphere
Answer:",True,True
204,"The process of boiling water tends to
A. warm the water
B. cool the water
C. Both
D. Neither
Answer:",False,True
205,"When you scale up an object to 3 times its linear size, the surface area increases by
A. 3 and the volume by 9.
B. 3 and the volume by 27.
C. 9 and the volume by 27.
D. 4 and the volume by 8.
Answer:",True,True
206,"If you change the magnetic field in a closed loop of wire, what is created in the loop is a(n)
A. current
B. voltage
C. electric field
D. All of these
Answer:",False,True
207,"Clocks on a fast-moving spaceship whizzing past Earth appear to run slow when viewed from
A. inside the spaceship.
B. Earth.
C. Both of these.
D. Neither of these.
Answer:",True,True
208,"The model of light most supported by the photoelectric effect is the
A. wave model
B. particle model
C. Both of these
D. Neither of these
Answer:",True,True
209,"Compared with a fundamental tone, the frequency of its second harmonic is
A. half as much
B. twice as much
C. the same
D. four times as much
Answer:",True,True
210,"A string is plucked producing four loops (antinodes). The length of the string is 12.00 m. The wavelength of the wave must be
A. 48.0 m
B. 24.0 m
C. 6.00 m
D. 3.00 m
Answer:",True,True
211,"During the time an aircraft produces a sonic boom, the aircraft is
A. breaking the sound barrier
B. pulling out of a subsonic dive
C. flying faster than sound
D. All of these
Answer:",True,True
212,"The principal source of Earth’s internal energy is
A. tidal friction
B. gravitational pressure
C. radioactivity
D. geothermal heat
Answer:",True,True
213,"When you brush your hair and scrape electrons from your hair, the charge of your hair becomes
A. positive
B. negative
C. Both of these
D. Neither of these
Answer:",False,True
214,"Astrophysicists are able to identify the elements in the outer layers of a star by studying its
A. Doppler effect.
B. molecular structure.
C. temperature.
D. spectrum.
Answer:",True,True
215,"Relativistic equations for time dilation length contraction and relativistic momentum and energy hold true
A. at speeds near that of light.
B. at everyday low speeds.
C. at all speeds.
D. only approximately.
Answer:",False,True
216,"In his special theory of relativity, Einstein stated that the laws of physics are
A. different in different situations.
B. common sense applied to microscopic and macroscopic things.
C. the same in all frames of reference.
D. the same in all uniformly moving frames of reference.
Answer:",True,True
217,"When an element ejects a beta particle, the atomic number of that element
A. reduces by 1
B. increases by 1
C. reduces by 2
D. increases by 2
Answer:",True,True
218,"The amount of heat transferred to a system can be measured in
A. calories
B. joules
C. Either
D. Neither
Answer:",True,True
219,"Compared with the sound you hear from the siren of a stationary fire engine, its sound when it approaches you has an increased
A. speed
B. frequency
C. Both of these
D. Neither of these
Answer:",True,True
220,"Light reflecting from a smooth surface undergoes a change in
A. frequency.
B. wavelength.
C. All of these.
D. None of these.
Answer:",False,True
221,"What Einstein discovered about space and time is that they
A. are separate entities.
B. are parts of one whole.
C. follow an inverse-square law.
D. are special to space travelers.
Answer:",True,True
222,"All parts of a laser beam have the same
A. frequency
B. phase
C. speed
D. All of these
Answer:",True,True
223,"The rotational inertia of an object is greater when most of the mass is located
A. near the rotational axis
B. away from the axis
C. on the rotational axis
D. off center
Answer:",True,True
224,"When small pieces of material are assembled into a larger piece, the combined surface area
A. greatly increases
B. slightly increases
C. decreases
D. is unchanged
Answer:",False,True
225,"A rainbow is the result of light in raindrops that undergoes
A. internal reflection
B. dispersion
C. refraction
D. All of these
Answer:",True,True
226,"In the atomic nucleus, electrical forces tend to
A. hold particles together
B. push particles apart
C. produce orbital motion
D. charge particles
Answer:",False,True
227,"The fact that the acceleration of free fall is the same for all masses is explained by Newton’s
A. first law
B. second law
C. third law
D. law of action–reaction
Answer:",False,True
228,"Compared with radiation from the Sun, terrestrial radiation has a lower
A. wavelength
B. frequency
C. Both
D. Neither
Answer:",False,True
229,"When we speak of time dilation, we mean that time
A. compresses with speed.
B. stretches with speed.
C. is a constant at all speeds.
D. is related to space.
Answer:",True,True
230,"The magnetic field lines about a current-carrying wire form
A. circles
B. radial lines
C. eddy currents
D. energy loops
Answer:",True,True
231,"An inflated balloon with a heavy rock tied to it is dropped into a deep lake. As the balloon sinks deeper and deeper the buoyant force acting on it
A. increases.
B. decreases.
C. remains largely unchanged.
D. Need more information.
Answer:",False,True
232,"A radioactive sample has a half-life of 1 hour. If we start with 1.000 gram of it at noon, how much remains at 3:00 pm?
A. 0.50 g
B. 0.25 g
C. 0.125 g
D. 0.0625 g
Answer:",True,False
233,"Boiling and freezing occur when water is subjected to
A. decreased temperatures
B. decreased atmospheric pressure
C. increased temperatures
D. increased atmospheric pressure
Answer:",False,True
234,"When you bend the branch of a tree by hanging on its end, the top side of the branch is under
A. tension.
B. compression.
C. Both.
D. Neither.
Answer:",False,True
235,"A simple and correct way to comprehend satellites orbiting Earth is to view them as
A. balanced between gravitational and centripetal forces.
B. beyond the main pull of Earth gravity.
C. in mechanical equilibrium with a net force of zero.
D. having sufficient tangential velocities to fall around rather than into Earth.
Answer:",True,True
